title,info,price_text,details_page_url,imag
Prodej bytu 2+1 55 m²,"ČervenáVoda,okresÚstínadOrlicí",1995000Kč,https://reality.idnes.cz/detail/prodej/byt/cervena-voda/656f1dc1384542368d05f6a8/,https://sta-reality2.1gr.cz/sta/compile/thumbs/c/9/5/27f054115322bbd3a6b75018d2dc9.jpg
Prodej bytu atypického 170 m²,"03191TorredelaHoradada,Alicante,Španělsko,Španělsko",8832240Kč,https://reality.idnes.cz/detail/prodej/byt/03191-torre-de-la-horadada-alicante-spanelsko/65cb86d90160ff324405fe0f/,https://sta-reality2.1gr.cz/sta/compile/thumbs/6/5/5/3ef08d4760093ed1c3389376eb504.jpg
Historický objekt v centru města,"Boskovice,okresBlansko",Cenanavyžádání,https://reality.idnes.cz/detail/prodej/maly-objekt-nebo-garaz/boskovice/6169c31735a76352046bd97e/,https://sta-reality2.1gr.cz/sta/compile/thumbs/2/e/f/4982a0bb8d1a5c0bccc43753584dc.jpg
Prodej bytu 3+kk 100 m²,"Torrevieja,ProvincieAlicante,Španělsko,Španělsko",2969460Kč,https://reality.idnes.cz/detail/prodej/byt/torrevieja-provincie-alicante-spanelsko/6529c58fb1e1ce6db00e48cb/,https://sta-reality2.1gr.cz/sta/compile/thumbs/7/8/6/57e76eed97848ff54a429edc8ae66.jpg
Prodej bytu 3+kk 82 m²,"Radlická,Praha5-Radlice",15998000Kč,https://reality.idnes.cz/detail/prodej/byt/praha-5-radlicka/62fd4fac77b8f73dd32f27f1/,https://sta-reality2.1gr.cz/sta/compile/thumbs/e/9/0/b9c39ed6bf52e8460100e3a609197.jpg
"Prodej historického objektu, 1200 m2, Bořetín","Bořetín,okresJindřichůvHradec",5500000Kč,https://reality.idnes.cz/detail/prodej/maly-objekt-nebo-garaz/boretin/65bb51e5f87b290eb7044c4a/,https://sta-reality2.1gr.cz/sta/compile/thumbs/7/1/c/9df6e467f944ed513708ff469d260.jpg
"Prodej nájemního domu, činžáku 150 m²","Vršovice,okresOpava",1480000Kč,https://reality.idnes.cz/detail/prodej/komercni-nemovitost/vrsovice/6538dbe61a9e2574de0b78d4/,https://sta-reality2.1gr.cz/sta/compile/thumbs/a/2/e/28fad09f0dc39f7aafb0c70ec0d32.jpg
Prodej bytu 2+1 54 m²,"Bílina-TeplickéPředměstí,okresTeplice",445000Kč,https://reality.idnes.cz/detail/prodej/byt/bilina/65d719c5f102a37e85004c16/,https://sta-reality2.1gr.cz/sta/compile/thumbs/c/f/b/b420d3af42a1ffbf3a6024942e179.jpg
Prodej bytu 1+1 37 m²,"Rotava,okresSokolov",370000Kč,https://reality.idnes.cz/detail/prodej/byt/rotava/65d723ed17083bd03209e53c/,https://sta-reality2.1gr.cz/sta/compile/thumbs/e/b/1/723064f55f268a7ad0fdc5278db35.jpg
Prodej domu na klíč 102 m² s pozemkem 425 m²,"Americká,Tachov",4500000Kč,https://reality.idnes.cz/detail/prodej/dum/tachov-americka/65bb9c304b8837503109e4f2/,https://sta-reality2.1gr.cz/sta/compile/thumbs/5/b/a/fb04f32366bd034527058c707314f.jpg
Prodej domu na klíč 105 m² s pozemkem 320 m²,"Třebusice,okresKladno",7445000Kč,https://reality.idnes.cz/detail/prodej/dum/trebusice/6442734403a5f5e6e20c4da3/,https://sta-reality2.1gr.cz/sta/compile/thumbs/e/8/7/ad934b2bda90337be56c636c9b3fe.jpg
Dražba pozemku 64 414 m²,"Ukostela,KrálovskéPoříčí",3160000Kč,https://reality.idnes.cz/detail/drazba/pozemek/kralovske-porici-u-kostela/64f727ef880b27a0150f5d36/,https://sta-reality2.1gr.cz/sta/compile/thumbs/6/e/9/d3c746f5024d61eb54d9e3b95a0d8.jpg
Dražba pozemku 28 605 m²,"Nádražnípěšina,DvůrKrálovénadLabem",19504510Kč,https://reality.idnes.cz/detail/drazba/pozemek/dvur-kralove-nad-labem-nadrazni-pesina/65ba2bb05febc4d3180fe92a/,https://sta-reality2.1gr.cz/sta/compile/thumbs/f/3/6/6c9bab52337603c9fc7f7915f9b28.jpg
Pronájem domu 24 m² s pozemkem 940 m²,"Dubany,okresPardubice",6000Kč/měsíc,https://reality.idnes.cz/detail/pronajem/dum/dubany/65d7923ce9dfd6c95205bac3/,https://sta-reality2.1gr.cz/sta/compile/thumbs/d/a/3/2210ca8a6fe7e1e6f3c03d9831e46.jpg
Dražba komerčního objektu (jiného typu) 1 225 m²,"Hlavní,Přítluky",18319550Kč,https://reality.idnes.cz/detail/drazba/komercni-nemovitost/pritluky-hlavni/6582e3d7597f0b24d50e3aee/,https://sta-reality2.1gr.cz/sta/compile/thumbs/3/b/6/e4892cf2c681b36e77a9483dd3f49.jpg
Dražba komerčního objektu (jiného typu) 1 225 m²,"Hlavní,Přítluky",18319550Kč,https://reality.idnes.cz/detail/drazba/komercni-nemovitost/pritluky-hlavni/6527928bec8e0b19e30fee3b/,https://sta-reality2.1gr.cz/sta/compile/thumbs/b/e/0/56d9fd0170e7b11253be86488a4bb.jpg
Prodej domu 182 m² s pozemkem 284 m²,"Brankovice,okresVyškov",3490000Kč,https://reality.idnes.cz/detail/prodej/dum/brankovice/6450d2a8f0a4ac8ebc0b2fab/,https://sta-reality2.1gr.cz/sta/compile/thumbs/4/2/3/6ff23791c97602e2a51a440684b7a.jpg
Prodej domu 180 m² s pozemkem 1 002 m²,"Zaječice,okresChrudim",4200000Kč,https://reality.idnes.cz/detail/prodej/dum/zajecice/65bcf260c7308bd37902def6/,https://sta-reality2.1gr.cz/sta/compile/thumbs/d/b/b/5ea5084fd5120945015d0734b2d87.jpg
Prodej chaty/chalupy 134 m² s pozemkem 560 m²,"NovýKnín-KozíHory,okresPříbram",4400000Kč,https://reality.idnes.cz/detail/prodej/dum/novy-knin/650af2baca478f12b40b656e/,https://sta-reality2.1gr.cz/sta/compile/thumbs/a/d/4/3ed38459cf86ac9a514f3b6dfa737.jpg
Dražba domu 699 m² s pozemkem 853 m²,ChodskýÚjezd,1040000Kč,https://reality.idnes.cz/detail/drazba/dum/chodsky-ujezd/65d73cc2d145b1fcb3032295/,https://sta-reality2.1gr.cz/sta/compile/thumbs/5/5/4/0d60824f52165ed2d6069e8867573.jpg
Prodej domu 100 m² s pozemkem 950 m²,"Březina,okresBrno-venkov",Cenanavyžádání,https://reality.idnes.cz/detail/prodej/dum/brezina/65be53d4900f4a114407d199/,https://sta-reality2.1gr.cz/sta/compile/thumbs/b/a/3/b5e4bb4bf762e6bd272db6f6b374d.jpg
Dražba domu 292 m² s pozemkem 1 m²,"Zaškolou,Bystřany",391666Kč,https://reality.idnes.cz/detail/drazba/dum/bystrany-za-skolou/651ec60ef72f2ef1ca0c3d75/,https://sta-reality2.1gr.cz/sta/compile/thumbs/0/3/a/d3830fed1b683f917705512d2f350.jpg
Prodej pole 15 485 m²,"Lipovec,okresBlansko",603915Kč,https://reality.idnes.cz/detail/prodej/pozemek/lipovec/65bcc97cc0fbcf2d2b0dddfb/,https://sta-reality2.1gr.cz/sta/compile/thumbs/7/e/f/00d2d799753f0445b1ba294e42a38.jpg
Pronájem bytu 2+kk 51 m²,"AnnyRybníčkové,Praha5-Stodůlky",19000Kč/měsíc,https://reality.idnes.cz/detail/pronajem/byt/praha-5-anny-rybnickove/6579fcd7a65c2c5d0109168f/,https://sta-reality2.1gr.cz/sta/compile/thumbs/8/a/e/0d2e6ef90703709f7f37ad7924e2c.jpg
Pronájem bytu 1+1 250 m²,"JárydaCimrmana,Olomouc-Neředín",4800Kč/měsíc,https://reality.idnes.cz/detail/pronajem/byt/olomouc-jary-da-cimrmana/658c523a78e9cf646b0d02a6/,https://sta-reality2.1gr.cz/sta/compile/thumbs/2/6/7/996a09c6fae4e1918ca1e3950f737.jpg
Prodej zahrady 403 m²,"Sázava,okresŽďárnadSázavou",790000Kč,https://reality.idnes.cz/detail/prodej/pozemek/sazava/65536bd8d0996447f60b63bf/,https://sta-reality2.1gr.cz/sta/compile/thumbs/b/9/8/d1ec4e0644c075bf5d737fd42d9b7.jpg
Prodej komerčního pozemku 531 m²,"Pramenská,MariánskéLázně,okresCheb",Cenanavyžádání,https://reality.idnes.cz/detail/prodej/pozemek/marianske-lazne-pramenska/64ac3c96b01bc4e37f03b6f2/,https://sta-reality2.1gr.cz/sta/compile/thumbs/7/6/d/ee212cae89d077e3568c447b8efc5.jpg
